"id","canvas_id","name","date_start","date_end"
17700000000000001,1,Default Term,,
17700000000000036,36,Spring/Summer 2014,2014-05-06,2014-08-12
17700000000000037,37,Summer 2014,2014-06-26,2014-08-12
17700000000000038,38,Fall 2014,2014-09-02,2015-01-04
17700000000000039,39,Winter 2015,2015-01-05,2015-06-20
17700000000000040,40,Spring 2015,2015-05-05,2015-08-21
17700000000000041,41,Spring/Summer 2015,2015-05-05,2015-10-17
17700000000000042,42,Summer 2015,2015-07-01,2015-10-17
17700000000000043,43,Fall 2015,2015-09-08,2025-12-31
17700000000000044,44,Fall 2015 M3,2015-05-04,2015-10-25
17700000000000045,45,Fall 2015 M4,2015-05-11,2015-10-25
17700000000000046,46,Winter 2016 M3,2015-10-26,2016-05-01
17700000000000047,47,Winter 2016 M4,2015-10-26,2016-04-29
17700000000000048,48,Winter 2016,2015-12-22,2026-12-31
17700000000000049,49,Fall 2015 M1,2015-08-03,2015-12-20
17700000000000050,50,Fall 2015 M2,2015-08-17,2015-12-20
17700000000000051,51,Test Term,2015-10-12,2015-10-31
17700000000000052,52,Ongoing,,
17700000000000053,53,No Term,,
17700000000000054,54,Spring 2016,2016-04-19,2026-06-20
17700000000000055,55,Spring/Summer 2016,2016-04-19,2026-12-31
17700000000000056,56,Summer 2016,2016-06-29,2026-12-31
17700000000000057,57,Fall 2016,2016-09-06,2026-12-31
17700000000000058,58,Winter 2017,2017-01-04,2027-04-20
17700000000000087,87,Winter 2016 M1,2016-01-04,2016-05-15
17700000000000088,88,Winter 2016 M2,2016-01-04,2016-04-29
17700000000000091,91,Fall 2016 M1,2016-08-01,2016-12-18
17700000000000092,92,Fall 2016 M2,2016-08-01,2016-12-18
17700000000000093,93,Fall 2016 M3,2016-05-02,2016-10-30
17700000000000094,94,Fall 2016 M4,2016-05-11,2016-10-25
17700000000000095,95,Winter 2017 M1,2017-01-03,2017-06-25
17700000000000096,96,Winter 2017 M2,2017-01-03,2017-05-07
17700000000000097,97,Winter 2017 M3,2016-10-27,2017-05-10
17700000000000098,98,Winter 2017 M4,2016-10-27,2017-05-01
17700000000000099,99,Spring/Summer 2017,2017-05-02,2027-08-18
17700000000000100,100,Spring 2017,2017-05-02,2027-06-23
17700000000000101,101,Summer 2017,2017-06-28,2027-08-18
17700000000000102,102,Fall 2017 M3,2017-05-08,2017-10-29
17700000000000103,103,Fall 2017,2017-09-05,2027-12-31
17700000000000104,104,Fall 2017 M1,2017-07-31,2018-02-04
17700000000000105,105,Fall 2017 M2,2017-09-05,2018-03-11
17700000000000106,106,Winter 2018,2018-01-03,2028-04-17
17700000000000107,107,Spring 2018,2018-05-01,2028-06-22
17700000000000108,108,Summer 2018,2018-06-27,2028-08-17
17700000000000109,109,Spring/Summer 2018,2018-05-01,2028-08-17
17700000000000110,110,Fall 2017 M4,2017-05-08,2017-11-07
17700000000000111,111,Fall 2018,2018-09-04,2028-12-31
17700000000000112,112,Fall 2018 M3,2018-09-04,2019-02-03
17700000000000113,113,Winter 2019 M4,2018-10-29,2019-04-26
17700000000000114,114,Fall 2018 M1,2018-08-06,2019-02-03
17700000000000115,115,Fall 2018 M2,2018-09-10,2019-03-03
17700000000000116,116,Winter 2019,2019-01-09,2029-05-02
17700000000000117,117,Winter 2019 M3,2019-02-04,2019-07-07
17700000000000118,118,Winter 2019 M2,2019-03-04,2019-08-04
17700000000000119,119,Winter 2019 M1,2019-02-04,2019-08-02
17700000000000120,120,Spring 2019,2019-05-07,2029-12-31
17700000000000121,121,Summer 2019,2019-07-03,2029-12-31
17700000000000122,122,Spring/Summer 2019,2019-05-07,2029-12-31
17700000000000123,123,Winter 2019 Short,2019-03-11,2019-04-28
17700000000000124,124,Winter 2019 Long,2019-01-09,2019-05-31
17700000000000125,125,Fall 2019 M3,2019-08-05,2019-12-22
17700000000000126,126,Fall 2019 M4,2019-07-08,2019-11-24
17700000000000127,127,Fall 2019,2019-09-03,2029-12-20
17700000000000160,160,Fall 2019 M1,2019-08-04,2020-02-02
17700000000000161,161,Winter 2020 M4,2019-11-25,2020-04-26
17700000000000162,162,Fall 2019 M2,2019-09-09,2020-03-01
17700000000000163,163,Winter 2020 M3,2020-01-06,2020-06-07
17700000000000164,164,Winter 2020,2020-01-08,2031-01-01
17700000000000165,165,Winter 2020 M2,2020-03-02,2020-08-30
17700000000000166,166,Winter 2020 M1,2020-02-03,2020-07-19
17700000000000167,167,Spring 2020,2020-05-05,2030-07-01
17700000000000168,168,Spring/Summer 2020,2020-05-05,2030-08-31
17700000000000169,169,Summer 2020,2020-07-01,2030-08-31
17700000000000170,170,Fall 2020,2020-08-31,2030-12-31
17700000000000171,171,Fall 2020 M3,2020-05-05,2020-10-24
17700000000000172,172,Fall 2020 M4,2020-05-10,2020-10-24
17700000000000273,273,Winter 2021,2021-01-18,2031-12-31
17700000000000274,274,Fall 2020 M1,2020-08-02,2020-12-19
17700000000000275,275,Fall 2020 M2,2020-08-16,2020-12-19
17700000000000277,277,Winter 2021 M3,2020-10-24,2021-04-29
17700000000000278,278,Winter 2021 M4,2020-10-24,2021-04-27
17700000000000279,279,Spring 2021,2021-05-04,2032-01-01
17700000000000280,280,Spring/Summer 2021,2021-05-04,2031-12-31
17700000000000281,281,Summer 2021,2021-06-30,2031-12-31
17700000000000282,282,Winter 2021 M2,2021-01-09,2021-05-04
17700000000000283,283,Winter 2021 M1,2021-01-09,2021-06-03
17700000000000284,284,Fall 2021,2021-08-30,2031-12-31
17700000000000285,285,Fall 2021 M3,2021-05-05,2021-10-24
17700000000000286,286,Fall 2021 M4,2021-05-10,2021-10-24
17700000000000287,287,Winter 2022,2022-01-05,2032-01-04
17700000000000288,288,Fall 2021 M2,2021-08-16,2021-12-19
17700000000000289,289,Fall 2021 M1,2021-08-20,2021-12-19
17700000000000290,290,Spring 2022,2022-05-03,2032-12-31
17700000000000291,291,Spring/Summer 2022,2022-05-03,2032-12-31
17700000000000292,292,Summer 2022,2022-06-29,2032-12-31
17700000000000293,293,Winter 2022 M3,2021-10-24,2022-04-29
17700000000000294,294,Winter 2022 M4,2021-10-24,2022-04-27
17700000000000295,295,Winter 2022 M1,2022-01-09,2022-06-03
17700000000000296,296,Winter 2022 M2,2022-01-09,2022-05-04
17700000000000297,297,Canvastest,2022-01-31,2022-02-27
17700000000000298,298,Fall 2022,2022-08-29,2032-12-31
17700000000000299,299,Fall 2022 M3,2022-05-04,2022-10-25
17700000000000300,300,Fall 2022 M4,2022-05-11,2022-10-25
17700000000000301,301,Winter 2023,2023-01-04,2033-12-31
17700000000000302,302,Spring 2023,2023-05-02,2033-06-28
17700000000000303,303,Spring/Summer 2023,2023-05-02,2033-12-31
17700000000000304,304,Summer 2023,2023-06-28,2033-12-31
17700000000000305,305,Fall 2022 M1,2022-08-03,2022-12-20
17700000000000306,306,Fall 2022 M2,2022-08-17,2022-12-20
17700000000000307,307,Winter 2023 M3,2022-10-27,2023-05-03
17700000000000308,308,Winter 2023 M4,2022-10-27,2023-05-01
17700000000000309,309,Winter 2023 M2,2023-01-05,2023-05-01
17700000000000310,310,Winter 2023 M1,2023-01-05,2023-05-31
17700000000000311,311,Fall 2023,2023-08-28,2034-01-10
17700000000000312,312,Winter 2024,2024-01-10,2034-12-31
17700000000000313,313,Spring 2024,2024-05-07,2024-08-26
17700000000000314,314,Summer 2024,2024-06-28,2024-08-26
17700000000000315,315,Spring/Summer 2024,2024-05-07,2024-08-26
17700000000000316,316,Dev,,
17700000000000417,417,Fall 2024,2024-08-26,2025-01-08
17700000000000418,418,Winter 2025,2025-01-08,2025-05-06
17700000000000419,419,Spring 2025,2025-05-06,2025-06-26
17700000000000420,420,Summer 2025,2025-06-26,2025-08-25
17700000000000421,421,Spring/Summer 2025,2025-05-06,2025-08-25
